Source IP,Destination IP,Protocol,Count
172.64.149.70,10.12.60.241,30,11.194029850746269
35.186.224.13,10.12.60.241,26,9.701492537313433
10.12.60.241,172.64.149.70,22,8.208955223880597
142.250.193.74,10.12.60.241,21,7.835820895522389
10.12.60.241,35.186.224.13,17,6.343283582089552
10.12.60.241,74.125.68.84,16,5.970149253731343
74.125.68.84,10.12.60.241,16,5.970149253731343
10.12.60.241,142.250.194.110,10,3.731343283582089
10.12.60.241,142.250.194.78,10,3.731343283582089
10.12.60.241,35.186.224.35,10,3.731343283582089
35.186.224.35,10.12.60.241,10,3.731343283582089
142.250.194.110,10.12.60.241,10,3.731343283582089
142.250.194.78,10.12.60.241,10,3.731343283582089
10.12.60.241,142.250.193.74,8,2.9850746268656714
10.12.60.241,10.6.0.108,7,2.6119402985074625
10.6.0.108,10.12.60.241,7,2.6119402985074625
35.186.224.39,10.12.60.241,6,2.2388059701492535
10.12.60.241,35.186.224.39,6,2.2388059701492535
10.12.60.241,157.240.239.61,5,1.8656716417910446
157.240.239.61,10.12.60.241,5,1.8656716417910446
10.12.60.241,162.159.136.234,4,1.4925373134328357
162.159.136.234,10.12.60.241,4,1.4925373134328357
10.12.60.241,239.255.255.250,4,1.4925373134328357
10.12.60.241,10.12.255.255,2,0.7462686567164178
10.12.60.241,104.199.240.237,1,0.3731343283582089
104.199.240.237,10.12.60.241,1,0.3731343283582089
